City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,west end,26.6833,-78.9667,24.99,87,6,10.95,BS,1712884129
153,al hazm,16.1641,44.7769,27.35,49,98,4.38,YE,1712884129
154,radom,51.4025,21.1471,10.64,70,0,3.13,PL,1712884130
155,carutapera,-1.195,-46.02,25.27,96,100,1.96,BR,1712884130
156,siguiri,11.6667,-9.5,30.9,40,88,1.63,GN,1712884130
157,sungailiat,-1.85,106.1333,27.85,82,22,2.29,ID,1712884130
158,vilyuchinsk,52.9306,158.4028,7.15,92,18,2.52,RU,1712883837
159,nueva rosita,27.95,-101.2167,28.01,14,0,5.76,MX,1712884130
160,keflavik,64.0049,-22.5624,2.24,93,75,6.17,IS,1712884021
161,ilheus,-14.7889,-39.0494,27.9,78,40,2.57,BR,1712883958
162,portland,45.5234,-122.6762,15.96,60,75,6.17,US,1712884003
163,lihue,21.9789,-159.3672,24.09,80,75,4.12,US,1712883890
164,saint-pierre,-21.3393,55.4781,25.82,69,0,2.57,RE,1712883944
165,amga,60.8953,131.9608,0.65,99,100,2.79,RU,1712884131
166,konosha,60.9736,40.257,3.35,79,100,5.04,RU,1712884131
167,fuglafjordur,62.244,-6.814,8.26,86,1,10.25,FO,1712884030
168,riacho de santana,-13.6092,-42.9389,27.4,55,100,1.54,BR,1712883881
169,borogontsy,62.6683,131.1683,-7.94,92,100,5.01,RU,1712884131
170,carnarvon,-24.8667,113.6333,23.24,52,0,6.5,AU,1712883897
171,nova sintra,14.8667,-24.7167,22.4,78,9,6.42,CV,1712884131
172,dickinson,29.4608,-95.0513,25.07,39,0,4.63,US,1712883927
173,howrah,22.5892,88.3103,24.0,78,40,3.09,IN,1712884132
174,suva,-18.1416,178.4415,29.71,70,40,3.6,FJ,1712884132
175,saint-philippe,-21.3585,55.7679,25.77,85,48,1.3,RE,1712884132
176,vernon,50.2581,-119.2691,14.61,47,100,0.51,CA,1712883849
177,tamanrasset,22.785,5.5228,21.01,10,0,2.66,DZ,1712884132
178,camocim,-2.9022,-40.8411,26.14,89,99,3.29,BR,1712884132
179,prado,-17.3411,-39.2208,25.7,84,9,2.5,BR,1712883887
180,brookings,44.3114,-96.7984,10.1,55,75,8.23,US,1712883861
181,aasiaat,68.7098,-52.8699,-7.9,96,100,2.5,GL,1712884132
182,terenos,-20.4422,-54.8603,23.84,100,75,1.54,BR,1712884133
183,whitehorse,60.7161,-135.0538,4.08,67,100,4.34,CA,1712884133
184,torata,-17.0769,-70.8433,17.61,53,36,1.08,PE,1712884133
185,sao raimundo nonato,-9.0153,-42.6994,23.58,92,95,1.32,BR,1712884133
186,danjiangkou,32.5428,111.5086,19.5,70,0,1.2,CN,1712883920
187,wlodawa,51.55,23.55,8.39,72,5,2.44,PL,1712884133
188,onguday,50.75,86.15,-0.97,87,100,4.26,RU,1712884133
189,biograd na moru,43.9433,15.4519,18.2,76,95,2.04,HR,1712884133
190,ndele,8.4109,20.6473,27.97,18,73,2.01,CF,1712884133
191,kavaratti,10.5669,72.642,28.94,70,18,2.58,IN,1712883993
192,itaituba,-4.2761,-55.9836,24.58,98,100,0.17,BR,1712884134
193,minas de marcona,-15.2119,-75.1103,17.25,79,100,4.75,PE,1712884134
194,nogliki,51.8333,143.1667,3.52,88,36,5.36,RU,1712883858
195,susuman,62.7833,148.1667,-8.34,81,77,1.79,RU,1712883976
196,hermanus,-34.4187,19.2345,12.67,76,89,6.7,ZA,1712884039
197,dunedin,-45.8742,170.5036,9.33,91,100,0.89,NZ,1712884134
198,tadine,-21.55,167.8833,25.44,66,100,4.65,NC,1712884134
199,barra de santo antonio,-9.4047,-35.5072,26.6,81,4,2.81,BR,1712884023
200,tippi,7.2,35.45,19.72,81,13,1.48,ET,1712884134
201,ar ruseris,11.8659,34.3869,28.67,14,10,2.81,SD,1712884134
202,burang,30.25,81.1667,-10.84,91,84,0.84,CN,1712884007
203,iskateley,67.6803,53.1512,1.68,100,100,7.6,RU,1712883925
204,camiri,-20.05,-63.5167,17.68,98,100,0.94,BO,1712884135
205,kiruna,67.8557,20.2251,-4.49,93,20,2.06,SE,1712884135
206,mitsamiouli,-11.3847,43.2844,28.45,78,100,4.42,KM,1712884135
207,yarim,14.298,44.3779,15.72,82,6,0.94,YE,1712884135
208,ghat,24.9647,10.1728,22.45,26,6,6.21,LY,1712884135
209,cidreira,-30.1811,-50.2056,20.87,78,100,7.52,BR,1712884135
210,ulsteinvik,62.3432,5.8487,10.5,86,100,6.71,NO,1712884135
211,pathein,16.7833,94.7333,29.37,64,0,2.14,MM,1712884136
212,muleba,-1.8397,31.6544,20.11,83,100,2.61,TZ,1712884136
213,geraldton,-28.7667,114.6,23.23,56,6,5.66,AU,1712883944
214,new glasgow,45.5834,-62.6486,5.88,69,100,6.28,CA,1712883955
215,brisas de zicatela,15.8369,-97.0419,27.29,94,0,3.09,MX,1712884136
216,mora,11.0461,14.1401,28.85,12,95,2.78,CM,1712883981
217,colonia,50.9333,6.95,14.9,82,100,0.51,DE,1712883981
218,fuyang,32.9,115.8167,19.59,81,19,2.09,CN,1712884136
219,bayanhongor,46.7167,100.1167,0.53,53,61,2.43,MN,1712884136
220,ma'an,26.9775,110.7211,20.28,92,99,1.04,CN,1712884136
221,wailua homesteads,22.0669,-159.378,23.75,84,75,4.12,US,1712884137
222,chonchi,-42.6128,-73.8092,8.4,75,0,0.54,CL,1712883982
223,cockburn town,21.4612,-71.1419,25.36,83,9,9.38,TC,1712883853
224,auburn,47.3073,-122.2284,13.7,70,100,2.57,US,1712883992
225,shilovo,54.3204,40.874,9.56,81,2,3.13,RU,1712884137
226,alice springs,-23.7,133.8833,21.23,31,5,4.63,AU,1712884137
227,muroto-misakicho,33.2833,134.15,16.47,69,100,3.82,JP,1712883898
228,hoemul-li,41.4339,129.67,11.93,67,1,2.63,KP,1712884137
229,penzance,50.1186,-5.5371,11.38,89,100,7.51,GB,1712884137
230,santiago ixcuintla,21.8167,-105.2167,24.8,51,55,2.57,MX,1712884137
231,samdrup jongkhar,26.9167,91.6167,18.6,41,4,0.93,BT,1712884138
232,novosergiyevka,52.0934,53.6528,9.68,70,100,6.58,RU,1712884138
